timestamp,power
2026-02-21T19:50:54.633306,2989
2026-02-21T19:50:56.676196,2901
2026-02-21T19:50:58.712189,2789
2026-02-21T19:51:00.745247,2904
2026-02-21T19:51:02.776415,3023
2026-02-21T19:51:04.806618,3149
2026-02-21T19:51:06.848494,3159
2026-02-21T19:51:08.878444,3068
2026-02-21T19:51:10.908414,3097
2026-02-21T19:51:12.937881,3013
2026-02-21T19:51:14.967729,2857
2026-02-21T19:51:16.998718,3027
2026-02-21T19:51:19.028395,3062
2026-02-21T19:51:21.057602,3126
2026-02-21T19:51:23.089754,3063
2026-02-21T19:51:25.151034,2885
2026-02-21T19:51:27.180660,2749
2026-02-21T19:51:29.210442,3068
2026-02-21T19:51:31.240853,3151
2026-02-21T19:51:33.269836,3068
2026-02-21T19:51:35.303022,3183
2026-02-21T19:51:37.338071,3070
2026-02-21T19:51:39.370062,3142
2026-02-21T19:51:41.398505,3147
2026-02-21T19:51:43.427993,2756
2026-02-21T19:51:45.457894,2948
2026-02-21T19:51:47.487021,3224
2026-02-21T19:51:49.516915,3122
2026-02-21T19:51:51.546264,3061
2026-02-21T19:51:53.576573,2758
